L/2,density,probability_of_spread,south_wind_speed,west_wind_speed,big-jumps,percentage-burned
450,10,100,-20,0,FALSE,4.439102564
450,20,100,-20,0,FALSE,2.698602794
450,30,100,-20,0,FALSE,2.044066897
450,40,100,-20,0,FALSE,2.042512766
450,50,100,-20,0,FALSE,3.094380176
450,60,100,-20,0,FALSE,21.28158652
450,70,100,-20,0,FALSE,97.09166155
450,80,100,-20,0,FALSE,99.98209418
450,90,100,-20,0,FALSE,100.4051018
450,10,100,-10,0,FALSE,4.362256994
450,20,100,-10,0,FALSE,2.492786149
450,30,100,-10,0,FALSE,2.089329496
450,40,100,-10,0,FALSE,2.304257694
450,50,100,-10,0,FALSE,2.236360744
450,60,100,-10,0,FALSE,63.84654135
450,70,100,-10,0,FALSE,97.94359711
450,80,100,-10,0,FALSE,100.1211904
450,90,100,-10,0,FALSE,100.4243807
450,10,100,0,0,FALSE,4.280031822
450,20,100,0,0,FALSE,2.474815579
450,30,100,0,0,FALSE,1.855988088
450,40,100,0,0,FALSE,2.008813371
450,50,100,0,0,FALSE,2.302295918
450,60,100,0,0,FALSE,60.16122189
450,70,100,0,0,FALSE,98.81536135
450,80,100,0,0,FALSE,100.2784629
450,90,100,0,0,FALSE,100.439467
450,10,100,10,0,FALSE,4.548408057
450,20,100,10,0,FALSE,2.6051946
450,30,100,10,0,FALSE,2.119694173
450,40,100,10,0,FALSE,2.185965468
450,50,100,10,0,FALSE,3.133475861
450,60,100,10,0,FALSE,66.23069985
450,70,100,10,0,FALSE,97.51817786
450,80,100,10,0,FALSE,100.1596934
450,90,100,10,0,FALSE,100.4061652
450,10,100,20,0,FALSE,4.317927395
450,20,100,20,0,FALSE,2.546769376
450,30,100,20,0,FALSE,2.033826861
450,40,100,20,0,FALSE,2.242134448
450,50,100,20,0,FALSE,2.798477628
450,60,100,20,0,FALSE,33.64285714
450,70,100,20,0,FALSE,97.02694686
450,80,100,20,0,FALSE,100.0559463
450,90,100,20,0,FALSE,100.3996817
450,10,100,-20,0,FALSE,4.658488064
450,20,100,-20,0,FALSE,2.598537826
450,30,100,-20,0,FALSE,1.997791914
450,40,100,-20,0,FALSE,1.878194714
450,50,100,-20,0,FALSE,2.355344206
450,60,100,-20,0,FALSE,26.29601002
450,70,100,-20,0,FALSE,96.84427167
450,80,100,-20,0,FALSE,100.0438291
450,90,100,-20,0,FALSE,100.4125719
450,10,100,-10,0,FALSE,4.460019114
450,20,100,-10,0,FALSE,2.515824053
450,30,100,-10,0,FALSE,2.009943933
450,40,100,-10,0,FALSE,1.842801058
450,50,100,-10,0,FALSE,2.86580501
